code,name,thshy
688256,寒武纪,半导体
002371,北方华创,半导体
688981,中芯国际,半导体
688041,海光信息,半导体
603501,韦尔股份,半导体
688012,中微公司,半导体
688008,澜起科技,半导体
600584,长电科技,半导体
603986,兆易创新,半导体
688396,华润微,半导体
002049,紫光国微,半导体
688126,沪硅产业,半导体
603893,瑞芯微,半导体
002156,通富微电,半导体
600460,士兰微,半导体
688082,盛美上海,半导体
600745,闻泰科技,半导体
300782,卓胜微,半导体
002185,华天科技,半导体
688608,恒玄科技,半导体
688047,龙芯中科,半导体
300661,圣邦股份,半导体
603160,汇顶科技,半导体
688099,晶晨股份,半导体
300223,北京君正,半导体
600171,上海贝岭,半导体
688521,芯原股份,半导体
688249,晶合集成,半导体
688120,华海清科,半导体
688213,思特威,半导体
300623,捷捷微电,半导体
300373,扬杰科技,半导体
688018,乐鑫科技,半导体
688072,拓荆科技,半导体
688469,芯联集成,半导体
603290,斯达半导,半导体
300604,长川科技,半导体
688385,复旦微电,半导体
300458,全志科技,半导体
688361,中科飞测,半导体
688525,佰维存储,半导体
688728,格科微,半导体
688347,华虹公司,半导体
002409,雅克科技,半导体
603005,晶方科技,半导体
688037,芯源微,半导体
688702,盛科通信,半导体
605358,立昂微,半导体
600877,电科芯片,半导体
300666,江丰电子,半导体
605111,新洁能,半导体
300672,国科微,半导体
300077,国民技术,半导体
688234,天岳先进,半导体
688200,华峰测控,半导体
600206,有研新材,半导体
300613,富瀚微,半导体
688536,思瑞浦,半导体
688107,安路科技,半导体
688582,芯动联科,半导体
688052,纳芯微,半导体
688220,翱捷科技,半导体
688172,燕东微,半导体
688110,东芯股份,半导体
688766,普冉股份,半导体
688484,南芯科技,半导体
300456,赛微电子,半导体
301308,江波龙,半导体
603690,至纯科技,半导体
688123,聚辰股份,半导体
688798,艾为电子,半导体
688362,甬矽电子,半导体
688409,富创精密,半导体
300046,台基股份,半导体
688279,峰岹科技,半导体
002077,大港股份,半导体
300327,中颖电子,半导体
300053,航宇微,半导体
688498,源杰科技,半导体
688141,杰华特,半导体
300671,富满微,半导体
688368,晶丰明源,半导体
001309,德明利,半导体
688262,国芯科技,半导体
430139,华岭股份,半导体
688138,清溢光电,半导体
688593,新相微,半导体
002119,康强电子,半导体
301297,富乐德,半导体
688508,芯朋微,半导体
688432,有研硅,半导体
688332,中科蓝讯,半导体
688601,力芯微,半导体
688209,英集芯,半导体
688403,汇成股份,半导体
688270,臻镭科技,半导体
688591,泰凌微,半导体
688652,京仪装备,半导体
688515,裕太微,半导体
688049,炬芯科技,半导体
688595,芯海科技,半导体
688380,中微半导,半导体
688372,伟测科技,半导体
688352,颀中科技,半导体
688252,天德钰,半导体
600360,ST华微,半导体
688486,龙迅股份,半导体
603068,博通集成,半导体
688661,和林微纳,半导体
688699,明微电子,半导体
688233,神工股份,半导体
688653,康希通信,半导体
688048,长光华芯,半导体
688535,华海诚科,半导体
688153,唯捷创芯,半导体
688711,宏微科技,半导体
688381,帝奥微,半导体
688135,利扬芯片,半导体
688261,东微半导,半导体
301348,蓝箭电子,半导体
688286,敏芯股份,半导体
688589,力合微,半导体
301611,珂玛科技,半导体
301536,星宸科技,半导体
003026,中晶科技,半导体
300831,派瑞股份,半导体
688401,路维光电,半导体
603061,金海通,半导体
688478,晶升股份,半导体
688512,慧智微,半导体
688259,创耀科技,半导体
688605,先锋精科,半导体
300706,阿石创,半导体
688689,银河微电,半导体
688173,希荻微,半导体
688147,微导纳米,半导体
688458,美芯晟,半导体
688449,联芸科技,半导体
002213,大为股份,半导体
688709,成都华微,半导体
688620,安凯微,半导体
688216,气派科技,半导体
688720,艾森股份,半导体
688691,灿芯股份,半导体
003043,华亚智能,半导体
688416,恒烁股份,半导体
688325,赛微微电,半导体
688391,钜泉科技,半导体
835179,凯德石英,半导体
688721,龙图光罩,半导体
688693,锴威特,半导体
688230,芯导科技,半导体
301369,联动科技,半导体
688061,灿瑞科技,半导体
688045,必易微,半导体
688584,上海合晶,半导体
688130,晶华微,半导体
603375,盛景微,半导体
688419,耐科装备,半导体
688530,欧莱新材,半导体
600519,贵州茅台,白酒
000858,五粮液,白酒
600809,山西汾酒,白酒
000568,泸州老窖,白酒
002304,洋河股份,白酒
000596,古井贡酒,白酒
603369,今世缘,白酒
603198,迎驾贡酒,白酒
600779,水井坊,白酒
603589,口子窖,白酒
600702,舍得酒业,白酒
600559,老白干酒,白酒
000799,酒鬼酒,白酒
000860,顺鑫农业,白酒
603919,金徽酒,白酒
600199,金种子酒,白酒
600197,伊力特,白酒
002646,天佑德酒,白酒
600696,岩石股份,白酒
000995,皇台酒业,白酒
000333,美的集团,白色家电
000651,格力电器,白色家电
600690,海尔智家,白色家电
002050,三花智控,白色家电
000921,海信家电,白色家电
002402,和而泰,白色家电
002668,TCL智家,白色家电
002011,盾安环境,白色家电
600619,海立股份,白色家电
000016,深康佳A,白色家电
600983,惠而浦,白色家电
000521,长虹美菱,白色家电
300342,天银机电,白色家电
300217,东方电热,白色家电
600336,澳柯玛,白色家电
603112,华翔股份,白色家电
000404,长虹华意,白色家电
002676,顺威股份,白色家电
300403,汉宇集团,白色家电
300160,秀强股份,白色家电
002290,禾盛新材,白色家电
603519,立霸股份,白色家电
601956,东贝集团,白色家电
002860,星帅尔,白色家电
603726,朗迪集团,白色家电
300279,和晶科技,白色家电
002418,康盛股份,白色家电
603677,奇精机械,白色家电
603311,金海高科,白色家电
603657,春光科技,白色家电
603578,三星新材,白色家电
002420,毅昌科技,白色家电
003028,振邦智能,白色家电
301008,宏昌科技,白色家电
603150,万朗磁塑,白色家电
301135,瑞德智能,白色家电
301280,珠城科技,白色家电
836699,海达尔,白色家电
603075,热威股份,白色家电
001268,联合精密,白色家电
001387,雪祺电气,白色家电
831768,拾比佰,白色家电
430718,合肥高科,白色家电
601628,中国人寿,保险
601318,中国平安,保险
601319,中国人保,保险
601601,中国太保,保险
601336,新华保险,保险
000627,天茂集团,保险
002701,奥瑞金,包装印刷
002831,裕同科技,包装印刷
600210,紫江企业,包装印刷
300260,新莱应材,包装印刷
601515,东峰集团,包装印刷
002014,永新股份,包装印刷
002117,东港股份,包装印刷
002752,昇兴股份,包装印刷
002191,劲嘉股份,包装印刷
002229,鸿博股份,包装印刷
603499,翔港科技,包装印刷
601968,宝钢包装,包装印刷
603687,大胜达,包装印刷
603058,永吉股份,包装印刷
002228,合兴包装,包装印刷
000659,珠海中富,包装印刷
000812,陕西金叶,包装印刷
301062,上海艾录,包装印刷
603429,集友股份,包装印刷
002565,顺灏股份,包装印刷
002599,盛通股份,包装印刷
603607,京华激光,包装印刷
002374,中锐股份,包装印刷
002969,嘉美包装,包装印刷
301296,新巨丰,包装印刷
002303,美盈森,包装印刷
600076,康欣新材,包装印刷
002951,*ST金时,包装印刷
002735,王子新材,包装印刷
002799,环球印务,包装印刷
002846,英联股份,包装印刷
002787,华源控股,包装印刷
301198,喜悦智行,包装印刷
301223,中荣股份,包装印刷
300883,龙利得,包装印刷
002836,新宏泽,包装印刷
300501,海顺新材,包装印刷
001279,强邦新材,包装印刷
603022,新通联,包装印刷
301355,南王科技,包装印刷
003018,金富科技,包装印刷
003003,天元股份,包装印刷
870204,沪江材料,包装印刷
838163,方大新材,包装印刷
833075,柏星龙,包装印刷
872392,佳合科技,包装印刷
837174,宏裕包材,包装印刷
002508,老板电器,厨卫电器
603366,日出东方,厨卫电器
002543,万和电气,厨卫电器
002035,华帝股份,厨卫电器
603551,奥普科技,厨卫电器
002677,浙江美大,厨卫电器
300894,火星人,厨卫电器
300911,亿田智能,厨卫电器
605336,帅丰电器,厨卫电器
300750,宁德时代,电池
300014,亿纬锂能,电池
300207,欣旺达,电池
